# 西安高铁网络数据（完整版）
# 格式:
#   站点: S <id> <站名> <电报码>
#   线路: E <起点id> <终点id>
#
# 共有 3173 个站点，17968 条连接

S 987 徐州东 XXX
S 988 芦家村 XXX
S 989 南京南 XXX
S 990 白果 XXX
S 991 平关 XXX
S 992 宝坻 XXX
S 993 绍兴 XXX
S 994 三家店 XXX
S 995 米林 XXX
S 996 黑河 XXX
S 997 铁厂 XXX
S 998 泾县 XXX
S 999 临潼 XXX
S 1000 桂林 XXX
S 1001 株洲 XXX
S 1002 太姥山 XXX
S 1003 曹妃甸东 XXX
S 1004 永庆 XXX
S 1005 仙游 XXX
S 1006 连江 XXX
S 1007 永济北 XXX
S 1008 新干东 XXX
S 1009 雅河 XXX
S 1010 清河门北 XXX
S 1011 栟茶 XXX
S 1012 丹阳 XXX
S 1013 来宾北 XXX
S 1014 通安驿 XXX
S 1015 衡水北 XXX
S 1016 新林 XXX
S 1017 海林北 XXX
S 1018 虎林 XXX
S 1019 富裕 XXX
S 1020 靖州 XXX
S 1021 大杨树东 XXX
S 1022 洪洞 XXX
S 1023 西安北 XXX
S 1024 句容西 XXX
S 1025 澧县 XXX
S 1026 七龙星 XXX
S 1027 柳沟 XXX
S 1028 许昌 XXX
S 1029 神树 XXX
S 1030 丰城东 XXX
S 1031 合肥南 XXX
S 1032 花溪西 XXX
S 1033 尼日 XXX
S 1034 鼎湖东 XXX
S 1035 枣庄 XXX
S 1036 武昌 XXX
S 1037 宣化北 XXX
S 1038 卢龙 XXX
S 1039 米易东 XXX
S 1040 秀山 XXX
S 1041 孝感 XXX
S 1042 太平川 XXX
S 1043 明水河 XXX
S 1044 绛帐 XXX
S 1045 莲花山 XXX
S 1046 代湾 XXX
S 1047 十堰东 XXX
S 1048 九龙塘 XXX
S 1049 北京 XXX
S 1050 滦河 XXX
S 1051 冷坝 XXX
S 1052 西固 XXX
S 1053 大涧 XXX
S 1054 禹州 XXX
S 1055 雪野 XXX
S 1056 柳园南 XXX
S 1057 咸阳西 XXX
S 1058 三家寨 XXX
S 1059 平罗 XXX
S 1060 雅鲁 XXX
S 1061 苇河西 XXX
S 1062 乌兰胡同 XXX
S 1063 明安 XXX
S 1064 鹤庆 XXX
S 1065 阳信 XXX
